SCRIP_CD,Scrip_Name,Status,GROUP,FACE_VALUE,ISIN_NUMBER,INDUSTRY,scrip_id,Segment,NSURL,Issuer_Name,Mktcap
543501,Motilal Oswal S&P BSE Low Volatility ETF,Active,B,2.00,INF247L01BL0,,MOLOWVOL,Equity,https://www.bseindia.com/stock-share-price/motilal-oswal-sp-bse-low-volatility-etf/molowvol/543501/,Motilal Oswal Mutual Fund,
543512,Avro India Ltd,Active,B,10.00,INE652Z01017,Plastic Products - Consumer,AVROIND,Equity,https://www.bseindia.com/stock-share-price/avro-india-ltd/avroind/543512/,Avro India Limited,128.11
543513,Uma Exports Ltd,Active,B,10.00,INE0GIU01018,Trading & Distributors,UMAEXPORTS,Equity,https://www.bseindia.com/stock-share-price/uma-exports-ltd/umaexports/543513/,Uma Exports Limited,145.86
543514,Veranda Learning Solutions Ltd,Active,B,10.00,INE0IQ001011,E-Learning,VERANDA,Equity,https://www.bseindia.com/stock-share-price/veranda-learning-solutions-ltd/veranda/543514/,Veranda Learning Solutions Limited,1111.38
543515,Sunrise Efficient Marketing Ltd,Active,M,10.00,INE0KPY01017,Trading & Distributors,SEML,Equity,https://www.bseindia.com/stock-share-price/sunrise-efficient-marketing-ltd/seml/543515/,Sunrise Efficient Marketing Limited,123.50
543516,Dhyaani Tile and Marblez Ltd,Active,M,10.00,INE0K5F01014,Trading & Distributors,DHYAANI,Equity,https://www.bseindia.com/stock-share-price/dhyaani-tile-and-marblez-ltd/dhyaani/543516/,DHYAANI TILE AND MARBLEZ LIMITED,21.99
543517,Hariom Pipe Industries Ltd,Active,B,10.00,INE00EV01017,Iron & Steel Products,HARIOMPIPE,Equity,https://www.bseindia.com/stock-share-price/hariom-pipe-industries-ltd/hariompipe/543517/,Hariom Pipe Industries Limited,1388.20
543518,Eighty Jewellers Ltd,Active,M,10.00,INE0KSN01014,Gems- Jewellery And Watches,EIGHTY,Equity,https://www.bseindia.com/stock-share-price/eighty-jewellers-ltd/eighty/543518/,Eighty Jewellers Limited,62.22
543519,Shashwat Furnishing Solutions Ltd,Active,M,10.00,INE0JMN01019,Furniture- Home Furnishing,SFSL,Equity,https://www.bseindia.com/stock-share-price/shashwat-furnishing-solutions-ltd/sfsl/543519/,Shashwat Furnishing Solutions Limited,6.89
543520,Global Longlife Hospital and Research Ltd,Active,M,10.00,INE0J2K01014,Hospital,GLHRL,Equity,https://www.bseindia.com/stock-share-price/global-longlife-hospital-and-research-ltd/glhrl/543520/,Global Longlife Hospital and Research Limited,48.30
543521,Fone4 Communications (India) Ltd,Active,M,10.00,INE0L3H01014,E-Retail/ E-Commerce,FONE4,Equity,https://www.bseindia.com/stock-share-price/fone4-communications-(india)-ltd/fone4/543521/,Fone4 Communications (India) Limited,11.08
543522,Nanavati Ventures Ltd,Active,M,10.00,INE0E5R01017,Precious Metals,NVENTURES,Equity,https://www.bseindia.com/stock-share-price/nanavati-ventures-ltd/nventures/543522/,Nanavati Ventures Limited,7.27
543523,Campus Activewear Ltd,Active,B,5.00,INE278Y01022,Footwear,CAMPUS,Equity,https://www.bseindia.com/stock-share-price/campus-activewear-ltd/campus/543523/,Campus Activewear Limited,11009.60
543524,Rainbow Children's Medicare Ltd,Active,B,10.00,INE961O01016,Hospital,RAINBOW,Equity,https://www.bseindia.com/stock-share-price/rainbow-childrens-medicare-ltd/rainbow/543524/,Rainbow Children's Medicare Limited,8265.79
543525,Silver Touch Technologies Ltd,Active,B,10.00,INE625X01018,IT Enabled Services,SILVERTUC,Equity,https://www.bseindia.com/stock-share-price/silver-touch-technologies-ltd/silvertuc/543525/,Silver Touch Technologies Limited,434.58
543526,Life Insurance Corporation of India,Active,A,10.00,INE0J1Y01017,Life Insurance,LICI,Equity,https://www.bseindia.com/stock-share-price/life-insurance-corporation-of-india/lici/543526/,LIFE INSURANCE CORPORATION OF INDIA,354263.12
543527,Prudent Corporate Advisory Services Ltd,Active,B,5.00,INE00F201020,Financial Products Distributor,PRUDENT,Equity,https://www.bseindia.com/stock-share-price/prudent-corporate-advisory-services-ltd/prudent/543527/,Prudent Corporate Advisory Services Limited,3691.20
543528,Venus Pipes & Tubes Ltd,Active,B,10.00,INE0JA001018,Iron & Steel Products,VENUSPIPES,Equity,https://www.bseindia.com/stock-share-price/venus-pipes--tubes-ltd/venuspipes/543528/,Venus Pipes & Tubes Limited,1761.80
543529,Delhivery Ltd,Active,A,1.00,INE148O01028,Logistics Solution Provider,DELHIVERY,Equity,https://www.bseindia.com/stock-share-price/delhivery-ltd/delhivery/543529/,Delhivery Limited,25922.40
543530,Paradeep Phosphates Ltd,Active,B,10.00,INE088F01024,Fertilizers,PARADEEP,Equity,https://www.bseindia.com/stock-share-price/paradeep-phosphates-ltd/paradeep/543530/,Paradeep Phosphates Limited,4504.99
543531,Tierra Agrotech Ltd,Active,X,10.00,INE05CY01014,Other Agricultural Products,TIERRA,Equity,https://www.bseindia.com/stock-share-price/tierra-agrotech-ltd/tierra/543531/,Tierra Agrotech Limited,311.42
543532,Ethos Ltd,Active,B,10.00,INE04TZ01018,Gems- Jewellery And Watches,ETHOSLTD,Equity,https://www.bseindia.com/stock-share-price/ethos-ltd/ethosltd/543532/,ETHOS LIMITED,3010.42
543533,eMudhra Ltd,Active,B,5.00,INE01QM01018,IT Enabled Services,EMUDHRA,Equity,https://www.bseindia.com/stock-share-price/emudhra-ltd/emudhra/543533/,eMudhra Limited,2332.80
543534,Aether Industries Ltd,Active,B,10.00,INE0BWX01014,Specialty Chemicals,AETHER,Equity,https://www.bseindia.com/stock-share-price/aether-industries-ltd/aether/543534/,Aether Industries Limited,12330.92
543535,We Win Ltd,Active,B,10.00,INE082W01014,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),WEWIN,Equity,https://www.bseindia.com/stock-share-price/we-win-ltd/wewin/543535/,We Win Limited,41.96
543536,Silver Pearl Hospitality & Luxury Spaces Ltd,Active,M,10.00,INE0KXN01014,Hotels & Resorts,SILVERPRL,Equity,https://www.bseindia.com/stock-share-price/silver-pearl-hospitality--luxury-spaces-ltd/silverprl/543536/,Silver Pearl Hospitality & Luxury Spaces Limited,6.28
543537,Scarnose International Ltd,Active,M,10.00,INE0IXR01019,Other Textile Products,SCARNOSE,Equity,https://www.bseindia.com/stock-share-price/scarnose-international-ltd/scarnose/543537/,Scarnose International Limited,15.91
